town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality
MALLIDAĞ,182,93,89,189,96,93,Gazimağusa,Geçitkale,Geçitkale
NERGİSLİ,279,148,131,293,150,143,Gazimağusa,Geçitkale,Geçitkale
SÜTLÜCE,291,143,148,349,173,176,Gazimağusa,Geçitkale,Geçitkale
YAMAÇKÖY,92,39,53,80,33,47,Gazimağusa,Geçitkale,Geçitkale
SERDARLI,1055,511,544,1041,496,545,Gazimağusa,Geçitkale,Serdarlı
ERGENEKON,96,54,42,96,52,44,Gazimağusa,Geçitkale,Serdarlı
GÖNENDERE,389,187,202,394,193,201,Gazimağusa,Geçitkale,Serdarlı
GÖRNEÇ,507,234,273,515,243,272,Gazimağusa,Geçitkale,Serdarlı
PINARLI,167,86,81,202,101,101,Gazimağusa,Geçitkale,Serdarlı
TİRMEN,197,106,91,184,106,78,Gazimağusa,Geçitkale,Serdarlı
KÜÇÜKERENKÖY,339,168,171,257,187,70,Gazimağusa,Geçitkale,Tatlısu
AŞAĞI KARAMAN,675,346,329,565,312,253,Girne,Girne,Girne
BEYLERBEYİ,918,476,442,934,503,431,Girne,Girne,Girne
DOĞANKÖY,868,429,439,457,245,212,Girne,Girne,Girne
EDREMİT,1268,794,474,651,362,289,Girne,Girne,Girne
KARAKUM,722,390,332,299,184,115,Girne,Girne,Girne
KARAOĞLANOĞLU,3745,1963,1782,2610,1551,1059,Girne,Girne,Girne
OZANKÖY,3070,1615,1455,2584,1441,1143,Girne,Girne,Girne
ZEYTİNLİK KÖY,622,296,326,513,265,248,Girne,Girne,Girne
ILGAZ,72,36,36,75,48,27,Girne,Girne,Alsancak
İNCESU,180,103,77,150,86,64,Girne,Girne,Alsancak
YEŞİLTEPE,750,454,296,290,147,143,Girne,Girne,Alsancak
ARAPKÖY,542,302,240,380,228,152,Girne,Girne,Çatalköy
ÇATALKÖY,5110,2756,2354,3803,2147,1656,Girne,Girne,Çatalköy
AĞIRDAĞ,745,376,369,454,250,204,Girne,Girne,Dikmen
AKÇİÇEK,79,45,34,87,45,42,Girne,Girne,Dikmen
AŞAĞI TAŞKENT,290,148,142,264,134,130,Girne,Girne,Dikmen
BOĞAZKÖY,1943,1116,827,1297,782,515,Girne,Girne,Dikmen
DAĞYOLU,525,258,267,525,267,258,Girne,Girne,Dikmen
GÖÇERİ,228,119,109,155,83,72,Girne,Girne,Dikmen
GÜNGÖR,124,68,56,140,100,40,Girne,Girne,Dikmen
KÖMÜRCÜ,67,27,40,34,16,18,Girne,Girne,Dikmen
PINARBAŞI,483,236,247,484,237,247,Girne,Girne,Dikmen
ŞİRİNEVLER,368,201,167,427,228,199,Girne,Girne,Dikmen
YUKARI TAŞKENT,299,145,154,289,145,144,Girne,Girne,Dikmen
ESENTEPE,1754,920,834,1575,949,626,Girne,Girne,Esentepe
BAHÇELİ,388,193,195,393,204,189,Girne,Girne,Esentepe
BEŞPARMAK,30,16,14,42,23,19,Girne,Girne,Esentepe
KARAAĞAÇ,242,116,126,264,133,131,Girne,Girne,Esentepe
KARAMAN,55,29,26,85,43,42,Girne,Girne,Esentepe
KARŞIYAKA,2091,1057,1034,2110,1185,925,Girne,Girne,Lapta
AKDENİZ,522,276,246,597,317,280,Girne,Çamlıbel,Lapta
ALEMDAĞ,86,45,41,87,45,42,Girne,Çamlıbel,Lapta
ÇAMLIBEL,872,466,406,1037,561,476,Girne,Çamlıbel,Lapta
GEÇİTKÖY,220,126,94,213,139,74,Girne,Çamlıbel,Lapta
HİSARKÖY,194,89,105,194,95,99,Girne,Çamlıbel,Lapta
KARPAŞA,256,150,106,89,44,45,Girne,Çamlıbel,Lapta
KAYALAR,234,136,98,181,97,84,Girne,Çamlıbel,Lapta
KILIÇARSLAN,194,102,92,218,128,90,Girne,Çamlıbel,Lapta
KORUÇAM,309,147,162,195,91,104,Girne,Çamlıbel,Lapta
KOZAN,375,175,200,464,230,234,Girne,Çamlıbel,Lapta
ÖZHAN,73,38,35,82,45,37,Girne,Çamlıbel,Lapta
SADRAZAMKÖY,170,80,90,166,85,81,Girne,Çamlıbel,Lapta
TEPEBAŞI,774,417,357,798,427,371,Girne,Çamlıbel,Lapta
AKÇAY,1008,511,497,1033,522,511,Güzelyurt,Güzelyurt,Güzelyurt
AŞAĞI BOSTANCI,1822,872,950,2024,1010,1014,Güzelyurt,Güzelyurt,Güzelyurt
AYDINKÖY,1164,563,601,1154,577,577,Güzelyurt,Güzelyurt,Güzelyurt
GAYRETKÖY,367,179,188,367,188,179,Güzelyurt,Güzelyurt,Güzelyurt
GÜNEŞKÖY,505,252,253,546,277,269,Güzelyurt,Güzelyurt,Güzelyurt
