town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality
Aşağı Taşkent,290,148,142,264,134,130,Girne,Girne,Dikmen
Boğazköy,1943,1116,827,1297,782,515,Girne,Girne,Dikmen
Dağyolu,525,258,267,525,267,258,Girne,Girne,Dikmen
Göçeri̇,228,119,109,155,83,72,Girne,Girne,Dikmen
Güngör,124,68,56,140,100,40,Girne,Girne,Dikmen
Kömürcü,67,27,40,34,16,18,Girne,Girne,Dikmen
Pınarbaşı,483,236,247,484,237,247,Girne,Girne,Dikmen
Şi̇ri̇nevler,368,201,167,427,228,199,Girne,Girne,Dikmen
Yukarı Taşkent,299,145,154,289,145,144,Girne,Girne,Dikmen
Esentepe,1754,920,834,1575,949,626,Girne,Girne,Esentepe
Bahçeli̇,388,193,195,393,204,189,Girne,Girne,Esentepe
Beşparmak,30,16,14,42,23,19,Girne,Girne,Esentepe
Karaağaç,242,116,126,264,133,131,Girne,Girne,Esentepe
Karaman,55,29,26,85,43,42,Girne,Girne,Esentepe
Karşıyaka,2091,1057,1034,2110,1185,925,Girne,Girne,Lapta
Akdeni̇z,522,276,246,597,317,280,Girne,Çamlıbel,Lapta
Alemdağ,86,45,41,87,45,42,Girne,Çamlıbel,Lapta
Çamlıbel,872,466,406,1037,561,476,Girne,Çamlıbel,Lapta
Geçi̇tköy,220,126,94,213,139,74,Girne,Çamlıbel,Lapta
Hi̇sarköy,194,89,105,194,95,99,Girne,Çamlıbel,Lapta
Karpaşa,256,150,106,89,44,45,Girne,Çamlıbel,Lapta
Kayalar,234,136,98,181,97,84,Girne,Çamlıbel,Lapta
Kılıçarslan,194,102,92,218,128,90,Girne,Çamlıbel,Lapta
Koruçam,309,147,162,195,91,104,Girne,Çamlıbel,Lapta
Kozan,375,175,200,464,230,234,Girne,Çamlıbel,Lapta
Özhan,73,38,35,82,45,37,Girne,Çamlıbel,Lapta
Sadrazamköy,170,80,90,166,85,81,Girne,Çamlıbel,Lapta
Tepebaşı,774,417,357,798,427,371,Girne,Çamlıbel,Lapta
Akçay,1008,511,497,1033,522,511,Güzelyurt,Güzelyurt,Güzelyurt
Aşağı Bostancı,1822,872,950,2024,1010,1014,Güzelyurt,Güzelyurt,Güzelyurt
Aydınköy,1164,563,601,1154,577,577,Güzelyurt,Güzelyurt,Güzelyurt
Gayretköy,367,179,188,367,188,179,Güzelyurt,Güzelyurt,Güzelyurt
Güneşköy,505,252,253,546,277,269,Güzelyurt,Güzelyurt,Güzelyurt
Kalkanlı,2305,1423,882,1338,811,527,Güzelyurt,Güzelyurt,Güzelyurt
Mevlevi̇,386,207,179,370,217,153,Güzelyurt,Güzelyurt,Güzelyurt
Serhatköy,573,280,293,595,300,295,Güzelyurt,Güzelyurt,Güzelyurt
Şahi̇nler,189,89,100,179,82,97,Güzelyurt,Güzelyurt,Güzelyurt
Yayla,850,424,426,775,390,385,Güzelyurt,Güzelyurt,Güzelyurt
Yukarı Bostancı,1495,788,707,1419,746,673,Güzelyurt,Güzelyurt,Güzelyurt
Yuvacık,214,113,101,214,112,102,Güzelyurt,Güzelyurt,Güzelyurt
Zümrütköy,817,389,428,921,457,464,Güzelyurt,Güzelyurt,Güzelyurt
Lefke,3009,1600,1409,2908,1571,1337,Güzelyurt,Lefke,Lefke
Bademli̇köy,93,47,46,106,53,53,Güzelyurt,Lefke,Lefke
Bağlıköy,200,99,101,222,100,122,Güzelyurt,Lefke,Lefke
Cengi̇zköy,217,106,111,180,97,83,Güzelyurt,Lefke,Lefke
Çamlıköy,170,79,91,255,124,131,Güzelyurt,Lefke,Lefke
Deni̇zli̇,460,238,222,573,313,260,Güzelyurt,Lefke,Lefke
Doğancı,1299,662,637,1291,654,637,Güzelyurt,Lefke,Lefke
Gazi̇veren,1042,518,524,1002,508,494,Güzelyurt,Lefke,Lefke
Taşpınar,181,92,89,212,115,97,Güzelyurt,Lefke,Lefke
Yedi̇dalga,669,329,340,767,397,370,Güzelyurt,Lefke,Lefke
Yeşi̇lırmak,458,227,231,410,210,200,Güzelyurt,Lefke,Lefke
Yeşi̇lyurt,1218,637,581,1278,701,577,Güzelyurt,Lefke,Lefke
Ağıllar,188,91,97,176,87,89,İskele,İskele,İskele
Altınova,229,115,114,250,115,135,İskele,İskele,İskele
Ardahan,330,170,160,350,178,172,İskele,İskele,İskele
Aygün,414,209,205,380,187,193,İskele,İskele,İskele
Boğaz,157,86,71,295,186,109,İskele,İskele,İskele
Boğazi̇çi̇,514,252,262,475,234,241,İskele,İskele,İskele
Boğaztepe,312,151,161,444,280,164,İskele,İskele,İskele
Ergazi̇,202,94,108,207,92,115,İskele,İskele,İskele
Kaleci̇k,435,225,210,308,171,137,İskele,İskele,İskele
Kurtuluş,106,55,51,86,44,42,İskele,İskele,İskele
Kuzucuk,344,183,161,283,149,134,İskele,İskele,İskele
Ötüken,550,267,283,386,192,194,İskele,İskele,İskele
Sınırüstü,186,99,87,154,85,69,İskele,İskele,İskele
Topçuköy,310,150,160,336,169,167,İskele,İskele,İskele
Turnalar,142,75,67,134,72,62,İskele,İskele,İskele
Yarköy,429,208,221,348,177,171,İskele,İskele,İskele
Büyükkonuk,812,435,377,775,399,376,İskele,Mehmetçik,Büyükkonuk
Kaplıca,389,197,192,408,205,203,İskele,Mehmetçik,Büyükkonuk
Ki̇li̇tkaya,172,82,90,177,87,90,İskele,Mehmetçik,Büyükkonuk
Mersi̇nli̇k,158,80,78,169,87,82,İskele,Mehmetçik,Büyükkonuk
Sazlıköy,44,23,21,96,46,50,İskele,Mehmetçik,Büyükkonuk
Tuzluca,389,216,173,334,165,169,İskele,Mehmetçik,Büyükkonuk
Yedi̇konuk,860,436,424,859,450,409,İskele,Mehmetçik,Büyükkonuk
Zeybekköy,36,18,18,31,16,15,İskele,Mehmetçik,Büyükkonuk
Mehmetçi̇k,1249,633,616,1196,621,575,İskele,Mehmetçik,Mehmetçik
Bafra,1019,706,313,514,344,170,İskele,Mehmetçik,Mehmetçik
Balalan,89,43,46,97,47,50,İskele,Mehmetçik,Mehmetçik
Çayırova,406,210,196,430,221,209,İskele,Mehmetçik,Mehmetçik
Kumyalı,686,342,344,666,344,322,İskele,Mehmetçik,Mehmetçik
Pamuklu,280,141,139,256,129,127,İskele,Mehmetçik,Mehmetçik
Kantara,21,19,2,3,2,1,İskele,Mehmetçik,Mehmetçik
Kaleburnu,333,158,175,351,157,194,İskele,Yeni,Dipkarpaz
Yeni̇ Erenköy,1774,874,900,1640,816,824,İskele,Yeni,Yeni
Adaçay,100,51,49,88,44,44,İskele,Yeni,Yeni
Avtepe,119,56,63,151,67,84,İskele,Yeni,Yeni
Boltaşlı,228,118,110,266,143,123,İskele,Yeni,Yeni
Deri̇nce,488,250,238,524,264,260,İskele,Yeni,Yeni
Esenköy,58,26,32,58,28,30,İskele,Yeni,Yeni
Geli̇nci̇k,496,245,251,458,233,225,İskele,Yeni,Yeni
Kuruova,132,58,74,145,64,81,İskele,Yeni,Yeni
Si̇pahi̇,614,295,319,659,322,337,İskele,Yeni,Yeni
Taşlıca,80,40,40,99,53,46,İskele,Yeni,Yeni
Yeşi̇lköy,799,411,388,777,386,391,İskele,Yeni,Yeni
Zi̇yamet,739,387,352,715,365,350,İskele,Yeni,Yeni
