town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id
Yi̇ği̇tler,327,168,159,310,164,146,Lefkoşa,Değirmenlik,Değimenlik,35.07281,33.63436190000001,ChIJwxQz5A8w3hQRoV5TxQSKKtk
Maraş,226,125,101,503,317,186,Gazimağusa,Gazimağusa,Gazimağusa,35.105872,33.9554907,ChIJFbxuNW_I3xQRXL-W8cUUcHc
Mutluyaka,407,205,202,404,218,186,Gazimağusa,Gazimağusa,Gazimağusa,35.1626143,33.8299639,ChIJgzObm3213xQRhcNFZ3Y4wgU
Tuzla,2645,1394,1251,1877,1012,865,Gazimağusa,Gazimağusa,Gazimağusa,35.1613671,33.8801952,ChIJTyk1qP213xQRe2YltPw6dIE
Yeni̇ Boğazi̇çi̇,3347,1712,1635,2802,1524,1278,Gazimağusa,Gazimağusa,Yeni,35.1968015,33.8913539,ChIJX5JkU8213xQRzoBtqIJxpqA
Akova,704,353,351,662,319,343,Gazimağusa,Gazimağusa,Yeni,35.27723720000001,33.7908763,ChIJU-OytVBL3hQRMc_Wi2P7kCI
Alani̇çi̇,860,436,424,863,461,402,Gazimağusa,Gazimağusa,Yeni,35.2063472,33.7685332,ChIJ3_fervFK3hQRMBvuklWgwE0
Atlılar,46,22,24,24,14,10,Gazimağusa,Gazimağusa,Yeni,35.2128887,33.8327552,ChIJxxEush213xQRzCvoaesLzJA
Mormenekşe,1033,512,521,923,472,451,Gazimağusa,Gazimağusa,Yeni,35.1976484,33.8578735,ChIJAyL-5LS13xQR5RLkEv9LvT4
Muratağa,51,27,24,34,18,16,Gazimağusa,Gazimağusa,Yeni,35.2092566,33.7824983,ChIJb1bHoMFK3hQRkS8msBE0yO8
Sandallar,28,16,12,28,15,13,Gazimağusa,Gazimağusa,Yeni,35.2191608,33.80902620000001,ChIJiVvYky213xQRLpghZSqQR0Q
Yıldırım,549,288,261,542,280,262,Gazimağusa,Gazimağusa,Yeni,35.2347575,33.8020459,ChIJVZiJvjtL3hQRyAHzEUei13I
İnönü,911,456,455,933,461,472,Gazimağusa,Gazimağusa,İnönü,35.1591768,33.7014716,ChIJ23CAl5k23hQRqSVMCHJkHeE
Dörtyol,1349,691,658,1385,727,658,Gazimağusa,Gazimağusa,İnönü,35.1642359,33.7629465,ChIJWS2nt6k13hQRU0DCwffkzjo
Korkuteli̇,611,320,291,510,254,256,Gazimağusa,Gazimağusa,İnönü,35.1470463,33.8020459,ChIJCSuPp0k13hQRiN0Zm3g8dXA
