town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id
Yedi̇konuk,860,436,424,859,450,409,İskele,Mehmetçik,Büyükkonuk,35.4489622,34.0307246,ChIJD8EXgbAJ3xQRV86efYs1Lyg
Zeybekköy,36,18,18,31,16,15,İskele,Mehmetçik,Büyükkonuk,35.386124,34.0223683,ChIJWxKL7aun3xQRGTaHKC59KNg
Mehmetçi̇k,1249,633,616,1196,621,575,İskele,Mehmetçik,Mehmetçik,35.415337,34.0752783,ChIJz4xBRhkK3xQRmThc7yJ3-xA
Bafra,1019,706,313,514,344,170,İskele,Mehmetçik,Mehmetçik,35.3734501,34.0697103,ChIJo133OM6g3xQR4lp7rm3fOrY
Balalan,89,43,46,97,47,50,İskele,Mehmetçik,Mehmetçik,35.4827208,34.0919803,ChIJX5IB3X0M3xQRnOGYt_iti0I
Çayırova,406,210,196,430,221,209,İskele,Mehmetçik,Mehmetçik,35.3519049,34.0307246,ChIJISBzmemm3xQRbHjlmIap3DY
Kumyalı,686,342,344,666,344,322,İskele,Mehmetçik,Mehmetçik,35.4235636,34.1253751,ChIJYXp-AiAL3xQRtoMhux70cfw
Pamuklu,280,141,139,256,129,127,İskele,Mehmetçik,Mehmetçik,35.3926183,34.0780622,ChIJc-oXFqWg3xQRFdJRKq-xF_U
Kantara,21,19,2,3,2,1,İskele,Mehmetçik,Mehmetçik,35.3871012,33.8990248,ChIJjZyEuU2p3xQROD6uAAxEHCg
Kaleburnu,333,158,175,351,157,194,İskele,Yeni,Dipkarpaz,35.521343,34.3032719,ChIJO9rzvaZv3xQR3bJFs5MUGq8
Yeni̇ Erenköy,1774,874,900,1640,816,824,İskele,Yeni,Yeni,35.5347254,34.1865669,ChIJx9sAZHNt3xQR7rlOtL4guiY
Adaçay,100,51,49,88,44,44,İskele,Yeni,Yeni,35.5066918,34.2060283,ChIJLdStg31y3xQRDkjvMJyd_oA
Avtepe,119,56,63,151,67,84,İskele,Yeni,Yeni,35.4847601,34.236602,ChIJL1aTzkZy3xQR9fXfZJVqp48
Boltaşlı,228,118,110,266,143,123,İskele,Yeni,Yeni,35.4674542,34.1698823,ChIJq2tM1Dtz3xQRio98UMYlW4o
Deri̇nce,488,250,238,524,264,260,İskele,Yeni,Yeni,35.4700019,34.1921277,ChIJx0LR8_By3xQRQM3NU_m4cio
Esenköy,58,26,32,58,28,30,İskele,Yeni,Yeni,35.4893751,34.13928600000001,ChIJ61ThRtEM3xQRkPeCY9yZEm8
Geli̇nci̇k,496,245,251,458,233,225,İskele,Yeni,Yeni,35.4516433,34.1587576,ChIJadCyZLMM3xQRTTqTp9vMMA8
Kuruova,132,58,74,145,64,81,İskele,Yeni,Yeni,35.5030642,34.2699432,ChIJneqaDzpu3xQRNuMuM_dsljA
Si̇pahi̇,614,295,319,659,322,337,İskele,Yeni,Yeni,35.5331526,34.236602,ChIJRe5YJrdt3xQRNMiDadjI280
Taşlıca,80,40,40,99,53,46,İskele,Yeni,Yeni,35.4643867,34.2171472,ChIJKVz5NrZz3xQRC0ySgw6qt50
Yeşi̇lköy,799,411,388,777,386,391,İskele,Yeni,Yeni,35.5031406,34.1643201,ChIJ_bg3-89y3xQRWY8WMwdxxjA
Zi̇yamet,739,387,352,715,365,350,İskele,Yeni,Yeni,35.4623398,34.1253751,ChIJv1L4zExz3xQRlKeaoS9biFo
