town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality
Abdi̇ Çavuş,568,315,253,975,591,384,Lefkoşa,Lefkoşa,Lefkoşa
Akkavuk,793,458,335,898,498,400,Lefkoşa,Lefkoşa,Lefkoşa
Arabahmet,561,297,264,761,425,336,Lefkoşa,Lefkoşa,Lefkoşa
Aydemet,"2,314","1,147","1,167","1,550",765,785,Lefkoşa,Lefkoşa,Lefkoşa
Ayyıldız,489,271,218,559,316,243,Lefkoşa,Lefkoşa,Lefkoşa
Çağlayan,"1,307",667,640,"1,413",744,669,Lefkoşa,Lefkoşa,Lefkoşa
Göçmenköy,"3,003","1,551","1,452","2,946","1,526","1,420",Lefkoşa,Lefkoşa,Lefkoşa
Hami̇tköy,"5,338","2,773","2,565","2,898","1,567","1,331",Lefkoşa,Lefkoşa,Lefkoşa
Haspolat,"4,204","2,385","1,819","3,380","2,168","1,212",Lefkoşa,Lefkoşa,Lefkoşa
Haydarpaşa,155,80,75,320,186,134,Lefkoşa,Lefkoşa,Lefkoşa
İbrahi̇mpaşa,566,327,239,675,388,287,Lefkoşa,Lefkoşa,Lefkoşa
İpli̇kpazarı,229,163,66,335,201,134,Lefkoşa,Lefkoşa,Lefkoşa
Kafesli̇,233,145,88,439,281,158,Lefkoşa,Lefkoşa,Lefkoşa
Karamanzade,351,168,183,429,227,202,Lefkoşa,Lefkoşa,Lefkoşa
Kızılay,"3,535","1,754","1,781","2,700","1,382","1,318",Lefkoşa,Lefkoşa,Lefkoşa
Köşklüçi̇ftli̇k,"2,939","1,465","1,474","3,391","1,732","1,659",Lefkoşa,Lefkoşa,Lefkoşa
Kumsal,"1,855",992,863,"1,770",910,860,Lefkoşa,Lefkoşa,Lefkoşa
Küçük Kaymaklı,"10,572","5,490","5,082","8,054","4,243","3,811",Lefkoşa,Lefkoşa,Lefkoşa
Mahmutpaşa,314,172,142,537,317,220,Lefkoşa,Lefkoşa,Lefkoşa
Marmara,"3,081","1,570","1,511","2,672","1,373","1,299",Lefkoşa,Lefkoşa,Lefkoşa
Ortaköy,"8,868","4,611","4,257","6,277","3,322","2,955",Lefkoşa,Lefkoşa,Lefkoşa
Seli̇mi̇ye,878,510,368,987,597,390,Lefkoşa,Lefkoşa,Lefkoşa
Taşkınköy,"3,847","2,180","1,667","6,338","3,753","2,585",Lefkoşa,Lefkoşa,Lefkoşa
Yeni̇cami̇,"1,663",905,758,"1,686",936,750,Lefkoşa,Lefkoşa,Lefkoşa
Yeni̇şehi̇r,"3,715","1,864","1,851","4,156","2,135","2,021",Lefkoşa,Lefkoşa,Lefkoşa
Akıncılar,390,199,191,462,231,231,Lefkoşa,Lefkoşa,Akıncılar
Alayköy,"2,777","1,445","1,332","2,539","1,348","1,191",Lefkoşa,Lefkoşa,Alayköy
Türkeli̇,154,96,58,154,98,56,Lefkoşa,Lefkoşa,Alayköy
Yılmazköy,953,533,420,785,435,350,Lefkoşa,Lefkoşa,Alayköy
Gönyeli̇,"11,671","6,241","5,430","8,708","4,711","3,997",Lefkoşa,Lefkoşa,Gönyeli
Kanlıköy,232,129,103,207,123,84,Lefkoşa,Lefkoşa,Gönyeli
Yeni̇kent,"5,374","2,725","2,649","3,478","1,808","1,670",Lefkoşa,Lefkoşa,Gönyeli
Bahçeli̇evler,256,126,130,222,104,118,Lefkoşa,Değirmenlik,Değimenlik
Balıkesi̇r,860,429,431,"1,074",625,449,Lefkoşa,Değirmenlik,Değimenlik
Başpınar,321,167,154,254,131,123,Lefkoşa,Değirmenlik,Değimenlik
Beyköy,105,42,63,88,35,53,Lefkoşa,Değirmenlik,Değimenlik
Cami̇altı,327,181,146,310,195,115,Lefkoşa,Değirmenlik,Değimenlik
Ci̇hangi̇r,961,475,486,929,495,434,Lefkoşa,Değirmenlik,Değimenlik
Çukurova,208,100,108,187,94,93,Lefkoşa,Değirmenlik,Değimenlik
Demi̇rhan,530,267,263,454,220,234,Lefkoşa,Değirmenlik,Değimenlik
Di̇lekkaya,619,305,314,590,290,300,Lefkoşa,Değirmenlik,Değimenlik
Düzova,661,332,329,624,319,305,Lefkoşa,Değirmenlik,Değimenlik
Erdemli̇,169,86,83,207,120,87,Lefkoşa,Değirmenlik,Değimenlik
Gazi̇köy,713,357,356,679,342,337,Lefkoşa,Değirmenlik,Değimenlik
Gökhan,202,117,85,229,128,101,Lefkoşa,Değirmenlik,Değimenlik
Kalavaç,255,122,133,248,119,129,Lefkoşa,Değirmenlik,Değimenlik
Kırıkkale,390,184,206,398,189,209,Lefkoşa,Değirmenlik,Değimenlik
Kırklar,384,246,138,335,200,135,Lefkoşa,Değirmenlik,Değimenlik
Mehmetçi̇k,497,264,233,599,305,294,Lefkoşa,Değirmenlik,Değimenlik
Meri̇ç,494,246,248,522,271,251,Lefkoşa,Değirmenlik,Değimenlik
Mi̇nareli̇köy,"1,334",755,579,"1,766","1,255",511,Lefkoşa,Değirmenlik,Değimenlik
Saray,"1,393",763,630,"1,519",839,680,Lefkoşa,Değirmenlik,Değimenlik
Taşocakları,0,0,0,128,91,37,Lefkoşa,Değirmenlik,Değimenlik
Tepebaşı,490,277,213,224,111,113,Lefkoşa,Değirmenlik,Değimenlik
Yeni̇ceköy,399,201,198,401,208,193,Lefkoşa,Değirmenlik,Değimenlik
Yi̇ği̇tler,327,168,159,310,164,146,Lefkoşa,Değirmenlik,Değimenlik
Anadolu,"1,508",790,718,"1,340",687,653,Gazimağusa,Gazimağusa,Gazimağusa
Baykal,"2,574","1,285","1,289","3,136","1,684","1,452",Gazimağusa,Gazimağusa,Gazimağusa
