town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id,greek_name,lat_g,lon_g
Kalavaç,255,122,133,248,119,129,Lefkoşa,Değirmenlik,Değimenlik,35.2577589,33.5486665,ChIJw9LwmqE43hQRVCDyyfoiWvY,Καλυβάκια,35.2570367,33.544808
Kırıkkale,390,184,206,398,189,209,Lefkoşa,Değirmenlik,Değimenlik,35.0773102,33.5840897,ChIJQ7t3sDwl3hQRa0Wi8RX92a8,Μελούσεια,35.0770318,33.5895956
Kırklar,384,246,138,335,200,135,Lefkoşa,Değirmenlik,Değimenlik,35.1345211,33.5124917,ChIJa0xaksk83hQR8sIIifpLULE,Τύμβου,35.13081,33.5112035
Meri̇ç,494,246,248,522,271,251,Lefkoşa,Değirmenlik,Değimenlik,35.1730011,33.5441836,ChIJr3Wloeg73hQRYgQ9kB1WbOs,Μόρα,35.1691793,33.544808
Mi̇nareli̇köy,1334,755,579,1766,1255,511,Lefkoşa,Değirmenlik,Değimenlik,35.2346275,33.4766108,ChIJ28mhJVo-3hQRTqPXqS3FK4A,Νέο Χωριό,35.2164823,33.4635768
Taşocakları,0,0,0,128,91,37,Lefkoşa,Değirmenlik,Değimenlik,,,,,,
Yeni̇ceköy,399,201,198,401,208,193,Lefkoşa,Değirmenlik,Değimenlik,35.2385523,33.54679,ChIJv890F-o43hQR6OX22CGhtiM,Πέτρα Διγενή,35.232456,33.5532073
Yi̇ği̇tler,327,168,159,310,164,146,Lefkoşa,Değirmenlik,Değimenlik,35.0899187,33.627897,ChIJwxQz5A8w3hQRoV5TxQSKKtk,Άρσος,35.07281,33.63436190000001
Maraş,226,125,101,503,317,186,Gazimağusa,Gazimağusa,Gazimağusa,35.1004657,33.9590274,ChIJFbxuNW_I3xQRXL-W8cUUcHc,Βαρώσια,35.105872,33.9554907
Mutluyaka,407,205,202,404,218,186,Gazimağusa,Gazimağusa,Gazimağusa,35.1724218,33.834864,ChIJgzObm3213xQRhcNFZ3Y4wgU,Στύλλοι,35.1626143,33.8299639
Tuzla,2645,1394,1251,1877,1012,865,Gazimağusa,Gazimağusa,Gazimağusa,35.1611026,33.8830887,ChIJTyk1qP213xQRe2YltPw6dIE,Εγκωμη,35.1613671,33.8801952
Yeni̇ Boğazi̇çi̇,3347,1712,1635,2802,1524,1278,Gazimağusa,Gazimağusa,Yeni,35.1858,33.8926,ChIJX5JkU8213xQRzoBtqIJxpqA,Άγιος Σέργιος,35.1968015,33.8913539
Akova,704,353,351,662,319,343,Gazimağusa,Gazimağusa,Yeni,35.2601669,33.7861636,ChIJU-OytVBL3hQRMc_Wi2P7kCI,Γύψου,35.27723720000001,33.7908763
Alani̇çi̇,860,436,424,863,461,402,Gazimağusa,Gazimağusa,Yeni,35.2201529,33.7599435,ChIJ3_fervFK3hQRMBvuklWgwE0,Πηγή Περιστερώνα,35.2063472,33.7685332
Atlılar,46,22,24,24,14,10,Gazimağusa,Gazimağusa,Yeni,35.2100603,33.8264904,ChIJxxEush213xQRzCvoaesLzJA,Αλόδα,35.2128887,33.8327552
Mormenekşe,1033,512,521,923,472,451,Gazimağusa,Gazimağusa,Yeni,35.2018399,33.8596954,ChIJAyL-5LS13xQR5RLkEv9LvT4,Λίμνια,35.1976484,33.8578735
Muratağa,51,27,24,34,18,16,Gazimağusa,Gazimağusa,Yeni,35.2105353,33.7764211,ChIJb1bHoMFK3hQRkS8msBE0yO8,Μαράθα,35.2092566,33.7824983
Sandallar,28,16,12,28,15,13,Gazimağusa,Gazimağusa,Yeni,35.2120574,33.7991837,ChIJiVvYky213xQRLpghZSqQR0Q,Σανταλάρης,35.2191608,33.80902620000001
Yıldırım,549,288,261,542,280,262,Gazimağusa,Gazimağusa,Yeni,35.2395041,33.7808514,ChIJVZiJvjtL3hQRyAHzEUei13I,Μηλιά,35.2347575,33.8020459
İnönü,911,456,455,933,461,472,Gazimağusa,Gazimağusa,İnönü,35.1576104,33.7005485,ChIJ23CAl5k23hQRqSVMCHJkHeE,Σίντα,35.1591768,33.7014716
Dörtyol,1349,691,658,1385,727,658,Gazimağusa,Gazimağusa,İnönü,35.1755782,33.7568549,ChIJWS2nt6k13hQRU0DCwffkzjo,Πραστιό,35.1642359,33.7629465
Korkuteli̇,611,320,291,510,254,256,Gazimağusa,Gazimağusa,İnönü,35.1673022,33.7889157,ChIJCSuPp0k13hQRiN0Zm3g8dXA,Γαϊδουράς,35.1470463,33.8020459
