town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id,greek_name,lat_g,lon_g
Zümrütköy,817,389,428,921,457,464,Güzelyurt,Güzelyurt,Güzelyurt,35.1747025,33.0517775,ChIJCb4haHH-3RQRGM3vjRR4u1E,Κατωκοπιά,35.1750763,33.0592054
Lefke,3009,1600,1409,2908,1571,1337,Güzelyurt,Lefke,Lefke,35.1132003,32.8499935,ChIJJcwU6qVZ5xQRkcCTmSDRNms,Λεύκα,35.0965045,32.8422959
Bademli̇köy,93,47,46,106,53,53,Güzelyurt,Lefke,Lefke,35.1588297,32.763247,ChIJgSNU9gdf5xQRiKQhw6eXsLo,Λουτρός,35.1565604,32.7576589
Bağlıköy,200,99,101,222,100,122,Güzelyurt,Lefke,Lefke,35.1203185,32.8040567,ChIJufDGSspe5xQRti6m1cYJ7cY,Αμπελικού,35.1198031,32.8140914
Cengi̇zköy,217,106,111,180,97,83,Güzelyurt,Lefke,Lefke,35.132526,32.8646386,ChIJQezCzERY5xQRDAbxW8MZjdE,Περιστερωνάρι,35.1355653,32.8592148
Çamlıköy,170,79,91,255,124,131,Güzelyurt,Lefke,Lefke,35.1156597,32.8769913,ChIJAzmtTDVY5xQRUIkSXcYjHX8,Καλό Χωριό,35.1140935,32.8733117
Deni̇zli̇,460,238,222,573,313,260,Güzelyurt,Lefke,Lefke,35.1474,32.8499,ChIJW2dQ9YxY5xQR7UjsWMVoXM0,Ξερός,35.1471499,32.8498745
Doğancı,1299,662,637,1291,654,637,Güzelyurt,Lefke,Lefke,35.1331227,32.913372,ChIJe0vMruVX5xQRdlKV_XZjxnU,Ελιά,35.1380434,32.9155906
Gazi̇veren,1042,518,524,1002,508,494,Güzelyurt,Lefke,Lefke,35.1724843,32.9164496,ChIJEXCaWzf43RQR7zTW95TGTfo,Καζιβερά,35.1674849,32.9155906
Taşpınar,181,92,89,212,115,97,Güzelyurt,Lefke,Lefke,35.118146,32.948238,ChIJSytdCzRW5xQRJUyZzLdv1n4,Αγκολέμ,35.1179217,32.9494009
Yedi̇dalga,669,329,340,767,397,370,Güzelyurt,Lefke,Lefke,35.1462068,32.8036484,ChIJcb1P3tJY5xQRmfZXUDXRy0s,Ποταμός,35.144474,32.8056285
Yeşi̇lırmak,458,227,231,410,210,200,Güzelyurt,Lefke,Lefke,35.1675235,32.7394894,ChIJ7fWEp8df5xQR6HUUmDmX6gk,Λιμνίτης,35.1667086,32.732254
Yeşi̇lyurt,1218,637,581,1278,701,577,Güzelyurt,Lefke,Lefke,35.1531147,32.8844033,ChIJpSgobwpY5xQRwtSdyBiNSQU,Πεντάγεια,35.1483418,32.8817689
Ağıllar,188,91,97,176,87,89,İskele,İskele,İskele,35.3467225,33.799342,ChIJUSNwLkyt3xQRSomsft-WRec,Μάντρες,35.3480408,33.8132141
Altınova,229,115,114,250,115,135,İskele,İskele,İskele,35.3267871,33.8143125,ChIJY7u8o6Oy3xQRg_sVkgyCKqo,'Αγιος Ιάκωβος,35.3153248,33.824381
Ardahan,330,170,160,350,178,172,İskele,İskele,İskele,35.3568042,33.8860095,ChIJK0xTfYKu3xQRkpKVIOf3KIA,Άρδανα,35.3555716,33.8969328
Aygün,414,209,205,380,187,193,İskele,İskele,İskele,35.2561997,33.8627363,ChIJz0sKlpSz3xQRfqCrh0TGdtE,Άγιος Γεώργιος,35.2587458,33.8801952
Boğaz,157,86,71,295,186,109,İskele,İskele,İskele,35.3150486,33.9505828,ChIJUasau5ev3xQRzJkaQJUAR-A,Μπογάζι,35.316774,33.9540969
Boğazi̇çi̇,514,252,262,475,234,241,İskele,İskele,İskele,35.2693567,33.8256878,ChIJZSUjjWyz3xQRNs6Qsmp39nA,Λάπαθος,35.272867,33.8355465
Boğaztepe,312,151,161,444,280,164,İskele,İskele,İskele,35.320503,33.9455111,ChIJpZeEvrmv3xQRkQn98z8idbo,Μόναργα,35.3169997,33.9457337
Ergazi̇,202,94,108,207,92,115,İskele,İskele,İskele,35.3656835,33.9378592,ChIJQ1UAPi-v3xQR1V4TY1l3_68,Όβγορος,35.3771934,33.9359756
Kaleci̇k,435,225,210,308,171,137,İskele,İskele,İskele,35.3424739,33.9998073,ChIJ8Ue0K8Ol3xQRBAocAhcv6Ys,Γαστριά,35.3338704,33.9805756
Kurtuluş,106,55,51,86,44,42,İskele,İskele,İskele,35.355337,33.9624173,ChIJh8Yz8E-v3xQRvTvUBpX0qFs,Αυγολίδα,35.3522187,33.9610657
Kuzucuk,344,183,161,283,149,134,İskele,İskele,İskele,35.2374507,33.8594461,ChIJ_ZP9CnS03xQRzYR6mME076Y,Αρναδί,35.2366033,33.8578735
Ötüken,550,267,283,386,192,194,İskele,İskele,İskele,35.2346419,33.8723517,ChIJ57M9VAi03xQRtd2YBqUErx4,Σπαθαρικό,35.2359621,33.882985
Sınırüstü,186,99,87,154,85,69,İskele,İskele,İskele,35.2723811,33.8520394,ChIJJwpkVKWz3xQRkigOcbpOlh8,Σύγκραση,35.2852727,33.8578735
Topçuköy,310,150,160,336,169,167,İskele,İskele,İskele,35.3397904,33.8734104,ChIJffxtwMSt3xQRk3m4vey4iDQ,Άγιος Ανδρόνικος,35.3339151,33.8578735
Turnalar,142,75,67,134,72,62,İskele,İskele,İskele,35.3598968,33.9219379,ChIJSzXsUtyu3xQR1VXj5GR6kdU,Γεράνι,35.3515836,33.9248222
Yarköy,429,208,221,348,177,171,İskele,İskele,İskele,35.3284553,33.9289152,ChIJrdCyc1Ou3xQRxHhmQxG1Cfk,Άγιος Ηλίας,35.3286036,33.9359756
Büyükkonuk,812,435,377,775,399,376,İskele,Mehmetçik,Büyükkonuk,35.4104388,33.9935574,ChIJNXgAoeqn3xQRQyZwR32q9Bc,Κώμη Κεπήρ,35.4243568,33.986149
Kaplıca,389,197,192,408,205,203,İskele,Mehmetçik,Büyükkonuk,35.4214136,33.904832,ChIJfR7-IQip3xQRY1J_oXkCTf4,Δαυλός,35.4134201,33.9136675
Ki̇li̇tkaya,172,82,90,177,87,90,İskele,Mehmetçik,Büyükkonuk,35.3944713,33.9734023,ChIJKaLbloGo3xQRiI0jnDWioi0,Κρίδεια,35.3895332,33.9582783
Mersi̇nli̇k,158,80,78,169,87,82,İskele,Mehmetçik,Büyükkonuk,35.3965417,33.8571123,ChIJj1VTB3as3xQRMg9DvvjtqCs,Φλαμούδι,35.3922503,33.8578735
Sazlıköy,44,23,21,96,46,50,İskele,Mehmetçik,Büyükkonuk,35.3991,34.0257,ChIJTeADeQyn3xQRXkzFnnGoJEk,Λιβάδια,35.3938178,34.036295
Tuzluca,389,216,173,334,165,169,İskele,Mehmetçik,Büyükkonuk,35.3629784,33.9970998,ChIJEW9CzxKm3xQRo5ptbTi1y_0,Πατρίκι,35.3594694,33.9917222
Yedi̇konuk,860,436,424,859,450,409,İskele,Mehmetçik,Büyükkonuk,35.4459392,34.0312656,ChIJD8EXgbAJ3xQRV86efYs1Lyg,Επτακώμη,35.4489622,34.0307246
Zeybekköy,36,18,18,31,16,15,İskele,Mehmetçik,Büyükkonuk,35.389416,34.0143602,ChIJWxKL7aun3xQRGTaHKC59KNg,Άγιος Ευστάθιος,35.386124,34.0223683
Mehmetçi̇k,1249,633,616,1196,621,575,İskele,Mehmetçik,Mehmetçik,35.4221242,34.0693265,ChIJz4xBRhkK3xQRmThc7yJ3-xA,Γαλάτεια,35.415337,34.0752783
Bafra,1019,706,313,514,344,170,İskele,Mehmetçik,Mehmetçik,35.379518,34.0712539,ChIJo133OM6g3xQR4lp7rm3fOrY,Βοκολίδα,35.3734501,34.0697103
Balalan,89,43,46,97,47,50,İskele,Mehmetçik,Mehmetçik,35.4783568,34.1069526,ChIJX5IB3X0M3xQRnOGYt_iti0I,Πλατανισσός,35.4827208,34.0919803
Çayırova,406,210,196,430,221,209,İskele,Mehmetçik,Mehmetçik,35.3660363,34.0297851,ChIJISBzmemm3xQRbHjlmIap3DY,Άγιος Θεόδωρος,35.3519049,34.0307246
Kumyalı,686,342,344,666,344,322,İskele,Mehmetçik,Mehmetçik,35.4276576,34.1316404,ChIJYXp-AiAL3xQRtoMhux70cfw,Κώμα Γιαλού,35.4235636,34.1253751
Pamuklu,280,141,139,256,129,127,İskele,Mehmetçik,Mehmetçik,35.3977953,34.0765548,ChIJc-oXFqWg3xQRFdJRKq-xF_U,Ταύρος,35.3926183,34.0780622
Kantara,21,19,2,3,2,1,İskele,Mehmetçik,Mehmetçik,35.387272,33.8984756,ChIJjZyEuU2p3xQROD6uAAxEHCg,Καντάρα,35.3871012,33.8990248
Kaleburnu,333,158,175,351,157,194,İskele,Yeni,Dipkarpaz,35.5224385,34.3026647,ChIJO9rzvaZv3xQR3bJFs5MUGq8,Γαληνόπορνη,35.521343,34.3032719
Yeni̇ Erenköy,1774,874,900,1640,816,824,İskele,Yeni,Yeni,35.5352105,34.1896124,ChIJx9sAZHNt3xQR7rlOtL4guiY,Γιαλούσα,35.5347254,34.1865669
Adaçay,100,51,49,88,44,44,İskele,Yeni,Yeni,35.5143199,34.1990045,ChIJLdStg31y3xQRDkjvMJyd_oA,Μελάναγρα,35.5066918,34.2060283
Avtepe,119,56,63,151,67,84,İskele,Yeni,Yeni,35.4911828,34.2184691,ChIJL1aTzkZy3xQR9fXfZJVqp48,Αγιος Συμεών,35.4847601,34.236602
Boltaşlı,228,118,110,266,143,123,İskele,Yeni,Yeni,35.4780938,34.1674017,ChIJq2tM1Dtz3xQRio98UMYlW4o,Λυθράγκωμη,35.4674542,34.1698823
Deri̇nce,488,250,238,524,264,260,İskele,Yeni,Yeni,35.4837899,34.1876376,ChIJx0LR8_By3xQRQM3NU_m4cio,Βαθύλακας,35.4700019,34.1921277
Esenköy,58,26,32,58,28,30,İskele,Yeni,Yeni,35.4928658,34.1433772,ChIJ61ThRtEM3xQRkPeCY9yZEm8,Κοιλάνεμος,35.4893751,34.13928600000001
Geli̇nci̇k,496,245,251,458,233,225,İskele,Yeni,Yeni,35.4729595,34.150295,ChIJadCyZLMM3xQRTTqTp9vMMA8,Βασίλι,35.4516433,34.1587576
Kuruova,132,58,74,145,64,81,İskele,Yeni,Yeni,35.5108618,34.2741346,ChIJneqaDzpu3xQRNuMuM_dsljA,Κοροβεία,35.5030642,34.2699432
Si̇pahi̇,614,295,319,659,322,337,İskele,Yeni,Yeni,35.5426055,34.2245714,ChIJRe5YJrdt3xQRNMiDadjI280,Αγία Τριάς,35.5331526,34.236602
Taşlıca,80,40,40,99,53,46,İskele,Yeni,Yeni,35.4697834,34.2140289,ChIJKVz5NrZz3xQRC0ySgw6qt50,Νέτα,35.4643867,34.2171472
Yeşi̇lköy,799,411,388,777,386,391,İskele,Yeni,Yeni,35.5050355,34.1624713,ChIJ_bg3-89y3xQRWY8WMwdxxjA,Άγιος Ανδρόνικος,35.5031406,34.1643201
Zi̇yamet,739,387,352,715,365,350,İskele,Yeni,Yeni,35.4685128,34.1382889,ChIJv1L4zExz3xQRlKeaoS9biFo,Λεωνάρισο,35.4623398,34.1253751
