town,greek_name,turkish_name,population,male_population,female_population,district,roc_control,lat,lon,gm_id,is_dimos,population_2006,male_population_2006,female_population_2006,district_raw,subdistrict,municipality,lat_g,lon_g
Arediou,Αρεδιού,Arediou,1225,615,610,Lefkosia,True,35.0484051,33.1960743,ChIJwVMxKN2p4BQR6OGBddW5Ai8,False,,,,Λευκωσίας,,,,
Agios Ioannis Malountas,Άγιος Ιωάννης Μαλούντας,Agios Ioannis,472,229,243,Lefkosia,True,35.0658877,33.1834671,ChIJi0zWBgwC3hQRw6kYmUlXy94,False,,,,Λευκωσίας,,,,
Agrokipia,Αγροκηπιά,Agrokipia,509,251,258,Lefkosia,True,35.0445032,33.1551245,ChIJfZipdzuq4BQR4GUtXt_I3Yc,False,,,,Λευκωσίας,,,,
Mitsero,Μιτσερό,Mitsero,860,409,451,Lefkosia,True,35.041331,33.1284236,ChIJ18WXTVSq4BQRl-UYm3WF8wg,False,,,,Λευκωσίας,,,,
Kapedes,Καπέδες,Kapedes,572,309,263,Lefkosia,True,34.9773458,33.2551542,ChIJD9NVTaGo4BQRoZJoJgGmZIQ,False,,,,Λευκωσίας,,,,
Kataliontas,Καταλιόντας,Kataliontas,24,15,9,Lefkosia,True,34.9947436,33.3080301,ChIJoY48wgin4BQRDXmYY3oYQ88,False,,,,Λευκωσίας,,,,
Analiontas,Αναλιόντας,Analiontas,443,215,228,Lefkosia,True,35.0077483,33.2900824,ChIJP_6PB72n4BQRvazQ3VNaRxg,False,,,,Λευκωσίας,,,,
Kampia,Καμπιά,Kampia,475,221,254,Lefkosia,True,35.007253,33.25644279999999,ChIJi_bATnio4BQRC0HyIJNlrss,False,,,,Λευκωσίας,,,,
Margi,Μαργί,Küçükköy,146,83,63,Lefkosia,True,35.0239031,33.3258557,ChIJRe8074wd3hQRrutvPQCHvEs,False,,,,Λευκωσίας,,,,
Tseri,Τσέρι,Tseri,7035,3474,3561,Lefkosia,True,35.0707866,33.3247626,ChIJVTdztE8c3hQRVbBmDYvcbPg,False,,,,Λευκωσίας,,,,
Politiko,Πολιτικό,Politiko,419,199,220,Lefkosia,True,35.0281829,33.24271170000001,ChIJJbfXRBGo4BQRkmJFsuKRiWQ,False,,,,Λευκωσίας,,,,
Pera,Πέρα,Pera,1372,671,701,Lefkosia,True,35.0328461,33.2554262,ChIJS7JcUAKo4BQRCQ7BHpXcI2A,False,,,,Λευκωσίας,,,,
