town,greek_name,turkish_name,population,male_population,female_population,district,roc_control,lat,lon,gm_id,is_dimos,population_2006,male_population_2006,female_population_2006,subdistrict,municipality,lat_g,lon_g
Agrokipia,Αγροκηπιά,Agrokipia,509,251,258,Λευκωσίας,True,35.0445032,33.1551245,ChIJfZipdzuq4BQR4GUtXt_I3Yc,False,,,,,,,
Mitsero,Μιτσερό,Mitsero,860,409,451,Λευκωσίας,True,35.041331,33.1284236,ChIJ18WXTVSq4BQRl-UYm3WF8wg,False,,,,,,,
Kapedes,Καπέδες,Kapedes,572,309,263,Λευκωσίας,True,34.9773458,33.2551542,ChIJD9NVTaGo4BQRoZJoJgGmZIQ,False,,,,,,,
Kataliontas,Καταλιόντας,Kataliontas,24,15,9,Λευκωσίας,True,34.9947436,33.3080301,ChIJoY48wgin4BQRDXmYY3oYQ88,False,,,,,,,
Analiontas,Αναλιόντας,Analiontas,443,215,228,Λευκωσίας,True,35.0077483,33.2900824,ChIJP_6PB72n4BQRvazQ3VNaRxg,False,,,,,,,
Kampia,Καμπιά,Kampia,475,221,254,Λευκωσίας,True,35.007253,33.25644279999999,ChIJi_bATnio4BQRC0HyIJNlrss,False,,,,,,,
Margi,Μαργί,Küçükköy,146,83,63,Λευκωσίας,True,35.0239031,33.3258557,ChIJRe8074wd3hQRrutvPQCHvEs,False,,,,,,,
Tseri,Τσέρι,Tseri,7035,3474,3561,Λευκωσίας,True,35.0707866,33.3247626,ChIJVTdztE8c3hQRVbBmDYvcbPg,False,,,,,,,
Politiko,Πολιτικό,Politiko,419,199,220,Λευκωσίας,True,35.0281829,33.24271170000001,ChIJJbfXRBGo4BQRkmJFsuKRiWQ,False,,,,,,,
Pera,Πέρα,Pera,1372,671,701,Λευκωσίας,True,35.0328461,33.2554262,ChIJS7JcUAKo4BQRCQ7BHpXcI2A,False,,,,,,,
Episkopeio,Επισκοπειό,Episkopeio,524,272,252,Λευκωσίας,True,35.0406022,33.2443993,ChIJPyeIfB2o4BQRFz80m27pI0E,False,,,,,,,
Psimolofou,Ψιμολόφου,Psimolofou,1626,831,795,Λευκωσίας,True,35.0608691,33.2597062,ChIJlUz3wDQd3hQRWORQJtLLxug,False,,,,,,,
Ergates,Εργάτες,Ergates,1792,938,854,Λευκωσίας,True,35.0541055,33.2436859,ChIJ2an6QrsC3hQR3G-X_ix_7fE,False,,,,,,,
Anageia,Ανάγεια,Anageia,1514,733,781,Λευκωσίας,True,35.074869,33.2516708,ChIJJU0Ha9EC3hQRegdjVvVwkvA,False,,,,,,,
Pano Deftera,Πάνω Δευτερά,Pano Deftera,2789,1405,1384,Λευκωσίας,True,35.0817107,33.2672173,ChIJ4TmoKNEc3hQRDdjqzWhlFpY,False,,,,,,,
Kato Deftera,Κάτω Δευτερά,Kato Deftera,2054,966,1088,Λευκωσίας,True,35.08804,33.2784486,ChIJ8-B-78Ec3hQRJT0ooikq-tg,False,,,,,,,
Agioi Trimithias,Άγιοι Τριμιθιάς,Ayioi Trimithias,1529,758,771,Λευκωσίας,True,35.1144181,33.2112256,ChIJi0Zg_3YD3hQRXrtXAUWCGkc,False,,,,,,,
Palaiometocho,Παλαιομέτοχο,Palaiometocho,4145,2113,2032,Λευκωσίας,True,35.1268061,33.1921206,ChIJ59ZxPo0D3hQRHZNAZO7j0XA,False,,,,,,,
Deneia,Δένεια,Deneia,373,181,192,Λευκωσίας,True,35.166721,33.1442206,ChIJxbOgtsAG3hQRtAkZT4jfeg8,False,,,,,,,
Kokkinotrimithia,Κοκκινοτριμιθιά,Kokkinotrimithia,4077,2030,2047,Λευκωσίας,True,35.1527991,33.1999632,ChIJkzVn_WgE3hQRNYojATSGI00,False,,,,,,,
Mammari,Μάμμαρη,Mammari,1592,797,795,Λευκωσίας,True,35.1756676,33.2048502,ChIJaYf2na0F3hQRf1U2pI05jSA,False,,,,,,,
