geo_code,town,population,male_population,female_population,district,is_dimos,lat,lon
1327,Ορούντα,604,310,294,Λευκωσίας,False,35.1028182,33.0941709
1328,Πάνω Κουτραφάς,4,3,1,Λευκωσίας,False,35.0854271,32.9828841
1329,Κάτω Κουτραφάς,17,8,9,Λευκωσίας,False,35.1016736,32.9779895
1330,Ποτάμι,558,283,275,Λευκωσίας,False,35.1046562,33.028789
1350,Πάνω Ζώδεια,15,12,3,Λευκωσίας,False,35.1386371,32.9860159
1360,Ακάκι,3003,1494,1509,Λευκωσίας,False,35.1337357,33.1288417
1361,Περιστερώνα Λευκωσίας,2226,1117,1109,Λευκωσίας,False,35.1305014,33.0798116
1362,Αστρομερίτης,2307,1158,1149,Λευκωσίας,False,35.139698,33.0369494
1368,Μένικο,1023,511,512,Λευκωσίας,False,35.1112587,33.146156
1400,Σπήλια,123,56,67,Λευκωσίας,False,34.9666909,32.9549718
1402,Αγία Ειρήνη Λευκωσίας,27,14,13,Λευκωσίας,False,34.9814562,32.9698159
1403,Καννάβια,129,59,70,Λευκωσίας,False,34.9830613,32.9771541
1404,Κακοπετριά,1274,603,671,Λευκωσίας,False,34.9899859,32.9036838
1405,Άγιος Θεόδωρος Σολέας,49,25,24,Λευκωσίας,False,35.042596,32.9284861
1406,Γαλάτα,581,277,304,Λευκωσίας,False,34.997626,32.8986815
1407,Σιναόρος,228,119,109,Λευκωσίας,False,35.0099216,32.8981879
1408,Καλιάνα,200,92,108,Λευκωσίας,False,35.012206,32.8826138
1409,Τεμβριά,498,230,268,Λευκωσίας,False,35.0280035,32.89178
1410,Κοράκου,521,248,273,Λευκωσίας,False,35.0403045,32.8857482
1411,Ευρύχου,827,385,442,Λευκωσίας,False,35.0427354,32.9012972
1412,Φλάσου,240,109,131,Λευκωσίας,False,35.060795,32.8874946
1415,Ληνού,161,67,94,Λευκωσίας,False,35.0729964,32.8919527
1416,Κατύδατα,114,49,65,Λευκωσίας,False,35.0817895,32.8874154
1417,Σκουριώτισσα (Φουκάσα),11,4,7,Λευκωσίας,False,35.0916578,32.885038
1420,Πεδουλάς,132,67,65,Λευκωσίας,False,34.9686392,32.827564
1421,Μυλικούρι,17,8,9,Λευκωσίας,False,34.9611506,32.7519984
1422,Μουτουλλάς,174,79,95,Λευκωσίας,False,34.983339,32.8245664
1423,Οίκος,158,78,80,Λευκωσίας,False,35.0002913,32.8299929
1424,Καλοπαναγιώτης,263,123,140,Λευκωσίας,False,34.9916085,32.8282406
1425,Γερακιές,75,27,48,Λευκωσίας,False,35.0003791,32.8051677
1426,Τσακίστρα,79,42,37,Λευκωσίας,False,35.0246263,32.7225721
1427,Κάμπος,271,114,157,Λευκωσίας,False,35.0392022,32.7324144
1456,Πάνω Πύργος,22,11,11,Λευκωσίας,False,35.1556574,32.6829413
1457,Κάτω Πύργος,1036,516,520,Λευκωσίας,False,35.1813827,32.6856272
1460,Πηγένια,107,52,55,Λευκωσίας,False,35.1710158,32.656798
1461,Παχύαμμος,70,35,35,Λευκωσίας,False,35.1707749,32.584818
1467,Μανσούρα,9,4,5,Λευκωσίας,False,35.1869582,32.6360673
1468,Μοσφίλι,20,6,14,Λευκωσίας,False,35.1810885,32.6311244
3100,Αγία Νάπα,3212,1611,1601,Αμμοχώστου,False,34.9887366,34.0002782
3101,Παραλίμνι,14963,7412,7551,Αμμοχώστου,False,35.0375882,33.9814728
3102,Δερύνεια,5844,2914,2930,Αμμοχώστου,False,35.062854,33.960628
3103,Σωτήρα Αμμοχώστου,5474,2761,2713,Αμμοχώστου,False,35.0284699,33.9513191
3104,Λιοπέτρι,4591,2276,2315,Αμμοχώστου,False,35.0096685,33.8929049
3105,Φρέναρος,4298,2119,2179,Αμμοχώστου,False,35.0432562,33.924892
3110,Αυγόρου,4604,2300,2304,Αμμοχώστου,False,35.0370977,33.8401219
3111,Άχνα,2087,1051,1036,Αμμοχώστου,False,35.0565168,33.7797054
3114,Αχερίτου,1556,744,812,Αμμοχώστου,False,35.0970715,33.8522923
4000,Λάρνακα,51468,24613,26855,Λάρνακας,True,34.9182222,33.6200625
4010,Αραδίππου,19228,9554,9674,Λάρνακας,True,34.9521888,33.5908529
4011,Λιβάδια,7206,3521,3685,Λάρνακας,False,34.9490765,33.6275272
4012,Δρομολαξιά,5064,2462,2602,Λάρνακας,False,34.8761451,33.5857563
4013,Μενεού,1625,801,824,Λάρνακας,False,34.8618571,33.5954577
4100,Κελλιά,387,187,200,Λάρνακας,False,34.9769024,33.6233665
4101,Τρούλλοι,1175,606,569,Λάρνακας,False,35.0150309,33.6216611
4102,Bορόκληνη (Ορόκληνη),6134,3052,3082,Λάρνακας,False,34.9828802,33.6558907
4103,Αβδελλερό,218,102,116,Λάρνακας,False,35.0101559,33.5693912
4104,Πύλα,2771,1402,1369,Λάρνακας,False,35.0134077,33.6922186
4105,Ξυλοτύμβου,3655,1840,1815,Λάρνακας,False,35.0153362,33.7407024
4106,Ορμίδεια,4189,2026,2163,Λάρνακας,False,34.9923198,33.7791944
4107,Ξυλοφάγου,6231,3057,3174,Λάρνακας,False,34.9761878,33.8487527
4108,Πέργαμος,193,99,94,Λάρνακας,False,35.0486587,33.6958809
4110,Κίτι,4252,2054,2198,Λάρνακας,False,34.8464781,33.5727305
4111,Περιβόλια Λάρνακας,3009,1531,1478,Λάρνακας,False,34.828698,33.5798536
4112,Τερσεφάνου,1299,663,636,Λάρνακας,False,34.8548144,33.5468888
4113,Σοφτάδες,62,29,33,Λάρνακας,False,34.8336242,33.5481414
4120,Μαζωτός,832,388,444,Λάρνακας,False,34.8038652,33.4872724
4121,Αλαμινός,345,174,171,Λάρνακας,False,34.8070417,33.4335814
4122,Αναφωτίδα,790,390,400,Λάρνακας,False,34.8246869,33.4633383
4123,Απλάντα,6,6,0,Λάρνακας,False,34.8290869,33.4743605
4124,Κιβισίλι,233,117,116,Λάρνακας,False,34.8397473,33.5058046
4125,Αλεθρικό,1101,538,563,Λάρνακας,False,34.8581994,33.4948446
4126,Κλαυδιά,427,205,222,Λάρνακας,False,34.8933791,33.51483
4127,Αγγλισίδες,1146,588,558,Λάρνακας,False,34.8534791,33.4565974
4128,Μενόγεια,50,22,28,Λάρνακας,False,34.8438208,33.4407763
4202,Αθιένου,5017,2462,2555,Λάρνακας,False,35.0617995,33.5399098
4210,Καλό Χωριό Λάρνακας,1518,752,766,Λάρνακας,False,34.9274852,33.5370018
