geo_code,town,population,male_population,female_population,district,is_dimos,lat,lon,gm_id,english_name,turkish_name
1222,Αναλιόντας,443,215,228,Λευκωσίας,False,35.0077483,33.2900824,ChIJP_6PB72n4BQRvazQ3VNaRxg,Analiontas,Analiontas
1223,Καμπιά,475,221,254,Λευκωσίας,False,35.007253,33.25644279999999,ChIJi_bATnio4BQRC0HyIJNlrss,Kampia,Kampia
1224,Μαργί,146,83,63,Λευκωσίας,False,35.0239031,33.3258557,ChIJRe8074wd3hQRrutvPQCHvEs,Marki,Küçükköy
1225,Τσέρι,7035,3474,3561,Λευκωσίας,False,35.0707866,33.3247626,ChIJVTdztE8c3hQRVbBmDYvcbPg,Tseri,Tseri
1226,Πολιτικό,419,199,220,Λευκωσίας,False,35.0281829,33.24271170000001,ChIJJbfXRBGo4BQRkmJFsuKRiWQ,Politiko,Politiko
1227,Πέρα,1372,671,701,Λευκωσίας,False,35.0328461,33.2554262,ChIJS7JcUAKo4BQRCQ7BHpXcI2A,Pera,Pera
1228,Επισκοπειό,524,272,252,Λευκωσίας,False,35.0406022,33.2443993,ChIJPyeIfB2o4BQRFz80m27pI0E,Episkopeio,Episkopeio
1229,Ψιμολόφου,1626,831,795,Λευκωσίας,False,35.0608691,33.2597062,ChIJlUz3wDQd3hQRWORQJtLLxug,Psimolofou,Psimolofou
1230,Εργάτες,1792,938,854,Λευκωσίας,False,35.0541055,33.2436859,ChIJ2an6QrsC3hQR3G-X_ix_7fE,Ergates,Ergates
1231,Ανάγεια,1514,733,781,Λευκωσίας,False,35.074869,33.2516708,ChIJJU0Ha9EC3hQRegdjVvVwkvA,Anageia,Anageia
1232,Πάνω Δευτερά,2789,1405,1384,Λευκωσίας,False,35.0817107,33.2672173,ChIJ4TmoKNEc3hQRDdjqzWhlFpY,Pano Deftera,Pano Deftera
1233,Κάτω Δευτερά,2054,966,1088,Λευκωσίας,False,35.08804,33.2784486,ChIJ8-B-78Ec3hQRJT0ooikq-tg,Kato Deftera,Kato Deftera
1240,Άγιοι Τριμιθιάς,1529,758,771,Λευκωσίας,False,35.1144181,33.2112256,ChIJi0Zg_3YD3hQRXrtXAUWCGkc,Ayioi Trimithias,Ayioi Trimithias
1241,Παλαιομέτοχο,4145,2113,2032,Λευκωσίας,False,35.1268061,33.1921206,ChIJ59ZxPo0D3hQRHZNAZO7j0XA,Palaiometocho,Palaiometocho
1242,Δένεια,373,181,192,Λευκωσίας,False,35.166721,33.1442206,ChIJxbOgtsAG3hQRtAkZT4jfeg8,Deneia,Deneia
1243,Κοκκινοτριμιθιά,4077,2030,2047,Λευκωσίας,False,35.1527991,33.1999632,ChIJkzVn_WgE3hQRNYojATSGI00,Kokkinotrimithia,Kokkinotrimithia
1244,Μάμμαρη,1592,797,795,Λευκωσίας,False,35.1756676,33.2048502,ChIJaYf2na0F3hQRf1U2pI05jSA,Mammari,Mammari
1300,Παλαιχώρι Μόρφου,686,330,356,Λευκωσίας,False,34.922316,33.0920661,ChIJ_6Zdr6Sy4BQRcro8W-YqC2Y,Palaichori,Palaichori
1301,Ασκάς,170,84,86,Λευκωσίας,False,34.9294664,33.0777752,ChIJedb9JlNN5xQRsBqPnd6Bm_o,Askas,Askas
1302,Άλωνα,67,28,39,Λευκωσίας,False,34.9343103,33.0396346,ChIJWwSFrHZN5xQRnB8us6NXQqc,Alona,Alona
1303,Φτερικούδι,90,41,49,Λευκωσίας,False,34.94257,33.069487,ChIJ9Sfv7KhS5xQRk_lALpxTEWk,Fterikoudi,Fterikoudi
1304,Πολύστυπος,128,60,68,Λευκωσίας,False,34.9396288,33.0177915,ChIJmevGTJFN5xQR9HeNf9owX8w,Polistipos,Polistipos
1305,Λαγουδερά,84,34,50,Λευκωσίας,False,34.9621334,33.0103115,ChIJ-eYLkAxS5xQRW7tkNV2B4QM,Lagoudera,Lagoudera
1306,Σαράντι,44,20,24,Λευκωσίας,False,34.96905050000001,32.9997237,ChIJ1-INkw9S5xQRj5cgAx8pdzs,Saranti,Saranti
1307,Λιβάδια Λευκωσίας,18,9,9,Λευκωσίας,False,34.9461332,33.0230728,ChIJHRVsnI9N5xQRvJ5a15pDgGw,Livadia,Livadia
1308,Αληθινού,9,3,6,Λευκωσίας,False,34.9476497,33.0286702,ChIJpc9mE4FN5xQRpJh5sIHp_EY,Alithinou,Alithinou
1309,Πλατανιστάσα,117,49,68,Λευκωσίας,False,34.9472628,33.0454434,ChIJYblQqoJS5xQRXZX9wXDzMWg,Platanistasa,Platanistasa
1310,Παλαιχώρι Ορεινής,333,165,168,Λευκωσίας,False,35.0057783,33.1622181,ChIJ84ahLdyr4BQRZpTIu6SjFt0,Palaichori Oreinis,Kalo Chorio
1320,Ξυλιάτος,138,72,66,Λευκωσίας,False,35.0295134,33.0435849,ChIJZ7IRsYNU5xQRMP9Wlp0O2G4,Xyliatos,Xyliatos
1321,Άγιος Γεώργιος Καυκάλλου,26,11,15,Λευκωσίας,False,35.037046,33.0124773,ChIJk5nuRnVU5xQRnMSYlgeBoQo,Agios Georgios,Agios Georgios
