geo_code,town,population,male_population,female_population,district,is_dimos
1425,Γερακιές,75,27,48,Λευκωσίας,False
1426,Τσακίστρα,79,42,37,Λευκωσίας,False
1427,Κάμπος,271,114,157,Λευκωσίας,False
1456,Πάνω Πύργος,22,11,11,Λευκωσίας,False
1457,Κάτω Πύργος,1036,516,520,Λευκωσίας,False
1460,Πηγένια,107,52,55,Λευκωσίας,False
1461,Παχύαμμος,70,35,35,Λευκωσίας,False
1467,Μανσούρα,9,4,5,Λευκωσίας,False
1468,Μοσφίλι,20,6,14,Λευκωσίας,False
3100,Αγία Νάπα,3212,1611,1601,Αμμοχώστου,False
3101,Παραλίμνι,14963,7412,7551,Αμμοχώστου,False
3102,Δερύνεια,5844,2914,2930,Αμμοχώστου,False
3103,Σωτήρα Αμμοχώστου,5474,2761,2713,Αμμοχώστου,False
3104,Λιοπέτρι,4591,2276,2315,Αμμοχώστου,False
3105,Φρέναρος,4298,2119,2179,Αμμοχώστου,False
3110,Αυγόρου,4604,2300,2304,Αμμοχώστου,False
3111,Άχνα,2087,1051,1036,Αμμοχώστου,False
3114,Αχερίτου,1556,744,812,Αμμοχώστου,False
4000,Λάρνακα,51468,24613,26855,Λάρνακας,True
4010,Αραδίππου,19228,9554,9674,Λάρνακας,True
4011,Λιβάδια,7206,3521,3685,Λάρνακας,False
4012,Δρομολαξιά,5064,2462,2602,Λάρνακας,False
4013,Μενεού,1625,801,824,Λάρνακας,False
4100,Κελλιά,387,187,200,Λάρνακας,False
4101,Τρούλλοι,1175,606,569,Λάρνακας,False
4102,Bορόκληνη (Ορόκληνη),6134,3052,3082,Λάρνακας,False
4103,Αβδελλερό,218,102,116,Λάρνακας,False
4104,Πύλα,2771,1402,1369,Λάρνακας,False
4105,Ξυλοτύμβου,3655,1840,1815,Λάρνακας,False
4106,Ορμίδεια,4189,2026,2163,Λάρνακας,False
4107,Ξυλοφάγου,6231,3057,3174,Λάρνακας,False
4108,Πέργαμος,193,99,94,Λάρνακας,False
4110,Κίτι,4252,2054,2198,Λάρνακας,False
4111,Περιβόλια Λάρνακας,3009,1531,1478,Λάρνακας,False
4112,Τερσεφάνου,1299,663,636,Λάρνακας,False
4113,Σοφτάδες,62,29,33,Λάρνακας,False
4120,Μαζωτός,832,388,444,Λάρνακας,False
4121,Αλαμινός,345,174,171,Λάρνακας,False
4122,Αναφωτίδα,790,390,400,Λάρνακας,False
4123,Απλάντα,6,6,0,Λάρνακας,False
4124,Κιβισίλι,233,117,116,Λάρνακας,False
4125,Αλεθρικό,1101,538,563,Λάρνακας,False
