town,district,lat,lon
Τσακίστρα,Λευκωσίας,35.0246263,32.7225721
Κάμπος,Λευκωσίας,35.0392022,32.7324144
Πάνω Πύργος,Λευκωσίας,35.1556574,32.6829413
Κάτω Πύργος,Λευκωσίας,35.1813827,32.6856272
Πηγένια,Λευκωσίας,35.1710158,32.656798
Παχύαμμος,Λευκωσίας,35.1707749,32.584818
Μανσούρα,Λευκωσίας,35.1869582,32.6360673
Μοσφίλι,Λευκωσίας,35.1810885,32.6311244
Αγία Νάπα,Αμμοχώστου,34.9887366,34.0002782
Παραλίμνι,Αμμοχώστου,35.0375882,33.9814728
Δερύνεια,Αμμοχώστου,35.062854,33.960628
Σωτήρα Αμμοχώστου,Αμμοχώστου,35.0284699,33.9513191
Λιοπέτρι,Αμμοχώστου,35.0096685,33.8929049
Φρέναρος,Αμμοχώστου,35.0432562,33.924892
Αυγόρου,Αμμοχώστου,35.0370977,33.8401219
Άχνα,Αμμοχώστου,35.0565168,33.7797054
Αχερίτου,Αμμοχώστου,35.0970715,33.8522923
Λάρνακα,Λάρνακας,34.9182222,33.6200625
Αραδίππου,Λάρνακας,34.9521888,33.5908529
Λιβάδια,Λάρνακας,34.9490765,33.6275272
Δρομολαξιά,Λάρνακας,34.8761451,33.5857563
Μενεού,Λάρνακας,34.8618571,33.5954577
Κελλιά,Λάρνακας,34.9769024,33.6233665
Τρούλλοι,Λάρνακας,35.0150309,33.6216611
Bορόκληνη (Ορόκληνη),Λάρνακας,34.9828802,33.6558907
Αβδελλερό,Λάρνακας,35.0101559,33.5693912
Πύλα,Λάρνακας,35.0134077,33.6922186
Ξυλοτύμβου,Λάρνακας,35.0153362,33.7407024
Ορμίδεια,Λάρνακας,34.9923198,33.7791944
Ξυλοφάγου,Λάρνακας,34.9761878,33.8487527
Πέργαμος,Λάρνακας,35.0486587,33.6958809
Κίτι,Λάρνακας,34.8464781,33.5727305
Περιβόλια Λάρνακας,Λάρνακας,34.828698,33.5798536
Τερσεφάνου,Λάρνακας,34.8548144,33.5468888
Σοφτάδες,Λάρνακας,34.8336242,33.5481414
Μαζωτός,Λάρνακας,34.8038652,33.4872724
Αλαμινός,Λάρνακας,34.8070417,33.4335814
Αναφωτίδα,Λάρνακας,34.8246869,33.4633383
Απλάντα,Λάρνακας,34.8290869,33.4743605
Κιβισίλι,Λάρνακας,34.8397473,33.5058046
Αλεθρικό,Λάρνακας,34.8581994,33.4948446
Κλαυδιά,Λάρνακας,34.8933791,33.51483
Αγγλισίδες,Λάρνακας,34.8534791,33.4565974
Μενόγεια,Λάρνακας,34.8438208,33.4407763
Αθιένου,Λάρνακας,35.0617995,33.5399098
Καλό Χωριό Λάρνακας,Λάρνακας,34.9274852,33.5370018
Αγία Άννα,Λάρνακας,34.9431755,33.4815517
Μοσφιλωτή,Λάρνακας,34.9506826,33.4287225
Ψευδάς,Λάρνακας,34.9512771,33.4631238
Πυργά (τα) Λάρνακας,Λάρνακας,34.9260101,33.4313872
Κόρνος,Λάρνακας,34.9225644,33.3964523
Δελίκηπος,Λάρνακας,34.9159428,33.3620252
Ζύγι,Λάρνακας,34.7276131,33.3349628
Μαρί,Λάρνακας,34.7414054,33.2989795
Καλαβασός,Λάρνακας,34.7724293,33.2959772
Τόχνη,Λάρνακας,34.7819948,33.3231306
Χοιροκoιτία,Λάρνακας,34.7966222,33.33558
Ψεματισμένος,Λάρνακας,34.7676625,33.3461719
Μαρώνι,Λάρνακας,34.7572546,33.3573334
Άγιος Θεόδωρος Λάρνακας,Λάρνακας,34.7987765,33.3836411
Σκαρίνου,Λάρνακας,34.8214575,33.3590151
Κοφίνου,Λάρνακας,34.8256084,33.3893174
Κάτω Λεύκαρα,Λάρνακας,34.8633533,33.3146816
Πάνω Λεύκαρα,Λάρνακας,34.8673535,33.3053345
Κάτω Δρυς,Λάρνακας,34.8516158,33.3045466
Βάβλα,Λάρνακας,34.8414268,33.2688594
Λάγεια,Λάρνακας,34.8434883,33.2475593
Ορά,Λάρνακας,34.8617787,33.19513
Μελίνη,Λάρνακας,34.867097,33.1571512
Οδού,Λάρνακας,34.8855322,33.1507464
Άγιοι Βαβατσινιάς,Λάρνακας,34.8798262,33.190932
Βαβατσινιά,Λάρνακας,34.8933235,33.2293042
Λεμεσός,Λεμεσού,34.6786322,33.0413055
Μέσα Γειτονιά,Λεμεσού,34.6982601,33.0455093
Άγιος Αθανάσιος,Λεμεσού,34.7109373,33.0597452
Γερμασόγεια,Λεμεσού,34.7227518,33.0845277
Πάνω Πολεμίδια,Λεμεσού,34.7098925,32.99206040000001
Ύψωνας,Λεμεσού,34.6882836,32.9612103
Κάτω Πολεμίδια,Λεμεσού,34.689381,33.0087394
Παλόδεια,Λεμεσού,34.7448585,33.0057813
Παραμύθα,Λεμεσού,34.7612191,32.9950889
Σπιτάλι,Λεμεσού,34.7634165,33.0035795
Φασούλα Λεμεσού,Λεμεσού,34.763803,33.0267096
Μαθικολώνη,Λεμεσού,34.7747644,33.0477977
Γεράσα,Λεμεσού,34.8026925,32.9958715
Αψιού,Λεμεσού,34.7975112,33.0167299
Απεσιά,Λεμεσού,34.7888153,32.9791008
Κορφή,Λεμεσού,34.7943298,32.9657546
Λιμνάτης,Λεμεσού,34.813109,32.9476114
Καπηλειό,Λεμεσού,34.8322135,32.9579111
Μουτταγιάκα,Λεμεσού,34.7207324,33.1007555
Αρμενοχώρι,Λεμεσού,34.7447112,33.1295812
Φοινικάρια,Λεμεσού,34.7530522,33.0983787
Ακρούντα,Λεμεσού,34.7656682,33.0812791
Άγιος Τύχων,Λεμεσού,34.7258619,33.1404129
Παρεκκλησιά,Λεμεσού,34.7435844,33.1600766
Πεντάκωμο,Λεμεσού,34.7389726,33.2411553
Μοναγρούλλι,Λεμεσού,34.7482813,33.2120933
Μονή,Λεμεσού,34.7390692,33.2012827
Πύργος Λεμεσού,Λεμεσού,34.7417862,33.1832043
Ασγάτα,Λεμεσού,34.7792675,33.255693
Βάσα Κελλακίου,Λεμεσού,34.8039688,33.2158763
